crypto,precio,capitalizacion,cambio_24h
Bitcoin,62793.0,1259534960916,-2.08
Ethereum,1778.93,214695881311,-1.65
Tether,0.999281,184167817443,0.0
BNB,568.24,76588073635,-1.14
USDC,0.999781,73384028892,0.0
XRP,1.072,66967961947,-2.4
Solana,75.84,44153634154,-1.35
TRON,0.330216,31324152357,0.16
Figure Heloc,1.041,20671716648,0.0
Hyperliquid,66.41,14772511897,-1.14
Dogecoin,0.072026,11166325735,-1.88
USDS,0.999703,10922739596,0.0
Rain,0.01435611,9501319610,-3.58
LEO Token,9.53,8773282027,-0.04
Zcash,519.25,8717945679,0.84
WhiteBIT Coin,55.03,6493644114,-2.07
Stellar,0.182769,6246004428,-2.12
Monero,328.83,6174468281,-0.33
Chainlink,7.92,5921694629,-1.34
Cardano,0.158844,5918383202,-4.42
Canton,0.132832,5188186237,-1.67
Bitcoin Cash,236.02,4734231891,-3.49
Dai,0.999929,4652636299,0.02
USD1,0.998838,4454585932,-0.04
Gram (prev. Toncoin),1.6,4369293621,-3.21
Ethena USDe,0.999702,3948365973,-0.01
Litecoin,43.52,3366793595,-2.74
Global Dollar,0.99953,3146215662,0.02
Sui,0.727249,2946937784,-0.48
Hedera,0.067107,2938425511,-1.88
BlackRock USD Institutional Digital Liquidity Fund,1.0,2882970321,0.0
PayPal USD,0.999668,2850742748,-0.01
Avalanche,6.49,2800754676,-0.48
Cronos,0.05583,2572134562,-0.08
Tether Gold,4048.45,2481022769,-1.21
Shiba Inu,4.19e-06,2467189729,-2.91
NEAR Protocol,1.87,2430148512,-1.02
DeXe,48.17,2252198322,24.46
Uniswap,3.52,2187480493,-3.5
Ondo US Dollar Yield,1.14,2155823067,0.3
Bittensor,206.16,1978583299,-1.59
World Liberty Financial,0.057382,1823286649,-0.92
PAX Gold,4050.4,1818184690,-1.21
OKB,79.89,1677619454,-0.1
HTX DAO,1.85e-06,1672419199,0.17
Aster,0.619172,1659424209,-0.87
MemeCore,1.22,1621009594,-2.24
USDD,0.999165,1575324448,0.0
Ondo,0.316658,1541844710,-2.89
Ripple USD,0.999907,1539205659,-0.01
Worldcoin,0.412088,1454730216,2.72
Aave,94.39,1432798438,-4.18
Falcon USD,0.996373,1421937214,0.13
Polkadot,0.82795,1401652406,-3.35
Sky,0.059657,1392824699,-3.09
Mantle,0.419164,1384087455,-0.45
BFUSD,0.998339,1317807965,-0.04
Morpho,2.0,1308272417,-3.46
Internet Computer,2.19,1212910588,-4.0
Pepe,2.73e-06,1147619639,-0.16
Bitget Token,1.63,1141037386,-0.01
Ethereum Classic,6.89,1078902304,-0.46
United Stables,1.0,1036049037,0.06
Spiko EU T-Bills Money Market Fund,1.2,1007556429,-0.16
Blockchain Capital,106.63,971624396,0.0
Pi Network,0.087592,958354959,-10.94
Quant,64.98,945102391,-2.32
KuCoin,6.89,944790304,-1.44
USDGO,1.0,918209268,-0.01
​​Stable,0.03638233,888678363,-2.96
ADI,7.05,882678457,8.16
Janus Henderson Anemoy Treasury Fund,1.11,871138743,0.0
POL (ex-MATIC),0.081049,865373442,1.93
JUST,0.099698,852297369,-1.28
Audiera,2.63,813470575,20.08
Cosmos Hub,1.54,798914538,-2.61
Invesco Short Duration US Government Securities Fund,11.14,787244535,0.0
Render,1.51,782365303,-2.46
Kaspa,0.02826503,777120659,-3.63
Spiko Amundi Overnight Swap Fund (EUR),1.15,773820028,-0.15
Ethena,0.078145,747244147,-3.44
Algorand,0.082383,738365136,-2.12
NEXO,0.729619,729534036,-2.85
USDtb,1.0,727463802,-0.01
Gate,6.65,707994395,-0.21
币安人生 (BinanceLife),0.702564,702416239,1.43
Beldex,0.087551,689251621,-1.59
Janus Henderson Anemoy AAA CLO Fund,1.041,684033391,0.0
Jupiter,0.198768,659942855,-1.3
Lighter,2.54,635285086,-6.52
Filecoin,0.761164,607059388,-3.04
GHO,0.998358,598014963,-0.01
Pump.fun,0.00147634,593041816,4.85
Arbitrum,0.090301,574563260,-9.36
Flare,0.00644854,559642520,-2.11
Usual USD,0.998364,552380506,-0.03
XDC Network,0.02709424,540397904,-0.08
YLDS,0.999994,535091506,0.02
USX,0.999797,517786614,0.01
